Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Siwakorn,Pass,0,0,28,86,20,92
Home,Wasan,Passfail,0,0,19,92,28,96
Home,Phitiwat,intercept,0,0,15,84,0,0
Home,Brinner,clear,0,0,16,64,0,0
Home,Kato,intercept,0,0,36,93,0,0
Home,Shinnaphat,Pass,1,0,30,73,54,64
Home,Phitiwat,Passfail,1,0,54,62,60,68
Home,Sanukran,intercept,1,0,52,31,0,0
Home,Sanukran,Pass,1,0,58,25,68,15
Home,Felipe,go,1,0,69,11,88,15
Home,Felipe,Passfail,1,0,86,16,88,41
Home,Sarawut,intercept,1,0,55,12,0,0
Home,Sarawut,Pass,1,0,56,13,61,18
Home,Siwakorn,go,1,0,60,19,72,15
Home,Sanukran,Cross,2,0,70,13,90,35
Home,Siwakorn,Pass,2,0,89,33,98,58
Home,Getterson,ShotOnTarget,2,0,98,58,0,0
Home,Felipe,ShotOffTarget,2,0,87,68,0,0
Home,Wasan,Pass,2,0,83,96,85,72
Home,Wasan,Pass,3,0,47,96,56,83
Home,Getterson,fail,3,0,58,82,0,0
Home,Wasan,clear,3,0,5,72,0,0
Home,Wasan,clear,4,0,11,60,0,0
Home,Wasan,clear,4,0,11,87,0,0
Home,Sanukran,intercept,4,0,19,33,0,0
Home,Sanukran,Pass,4,0,18,31,28,42
Home,Felipe,go,5,0,28,42,53,52
Home,Felipe,Pass,5,0,53,52,53,63
Home,Getterson,getfoul,5,0,55,63,0,0
Home,Getterson,getfoul,5,0,70,13,0,0
Home,Sarawut,Pass,5,0,58,19,66,8
Home,Sanukran,Pass,5,0,66,9,58,8
Home,Sarawut,Pass,5,0,57,9,47,22
Home,Siwakorn,Pass,5,0,45,16,40,38
Home,Brinner,Pass,5,0,41,38,44,22
Home,Siwakorn,Pass,5,0,50,23,58,10
Home,Sarawut,Pass,5,0,63,7,73,5
Home,Sanukran,Pass,5,0,73,7,72,16
Home,Felipe,Passfail,5,0,72,17,81,8
Home,Sanukran,Pass,5,0,75,5,84,7
Home,Siwakorn,Pass,5,0,83,8,83,13
Home,Sanukran,Pass,5,0,83,15,79,11
Home,Siwakorn,Pass,5,0,79,11,82,22
Home,Felipe,Passfail,5,0,82,23,91,31
Home,Sanukran,Cross,6,0,100,1,91,50
Home,Brinner,ShotOffTarget,6,0,91,50,0,0
Home,Brinner,clear,7,0,37,72,0,0
Home,Phitiwat,intercept,7,0,45,76,0,0
Home,Phitiwat,Pass,7,0,45,74,53,84
Home,Kato,Pass,7,0,52,82,45,50
Home,Siwakorn,Pass,7,0,57,31,67,8
Home,Sanukran,Passfail,7,0,74,8,88,17
Home,Siwakorn,Pass,9,0,32,11,30,3
Home,Sanukran,Pass,9,0,28,2,45,4
Home,Getterson,fail,9,0,45,5,0,0
Home,Felipe,foul,9,0,57,4,0,0
Home,Sanukran,foul,9,0,47,20,0,0
Home,Brinner,intercept,10,0,15,33,0,0
Home,Brinner,Pass,10,0,15,34,23,27
Home,Sarawut,Pass,10,0,22,26,29,31
