Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Phitiwat,Pass,46,5,50,49,68,27
Home,Shinnaphat,Passfail,46,5,67,24,22,85
Home,Wasan,intercept,46,5,61,12,0,0
Home,Kato,Pass,46,5,53,8,63,14
Home,Wasan,Pass,46,5,63,14,74,23
Home,Shinnaphat,Pass,46,5,76,21,90,45
Home,Apirak,Pass,46,5,89,59,76,70
Home,Apirak,Pass,46,5,68,74,72,56
Home,Tanasak,Pass,46,5,69,76,73,59
Home,Brinner,Pass,46,5,73,62,70,85
Home,Tanasak,Pass,46,5,70,88,65,71
Home,Siwakorn,Passfail,46,5,65,71,54,89
Home,Tanasak,getfoul,46,5,59,91,0,0
Home,Shinnaphat,Pass,46,5,48,27,43,17
Home,Phitiwat,Pass,46,5,41,19,33,29
Home,Kato,Pass,46,5,32,30,20,33
Home,Getterson,Pass,46,5,24,29,36,13
Home,Phitiwat,Pass,46,5,33,17,38,29
Home,Phitiwat,Pass,46,5,37,29,31,59
Home,Siwakorn,Pass,46,5,36,39,29,68
Home,Tanasak,ShotOffTarget,46,5,22,64,0,0
Home,Tanasak,clear,47,30,59,80,0,0
Home,Apirak,intercept,47,30,99,49,0,0
Home,Brinner,clear,48,36,97,53,0,0
Home,Brinner,clear,48,36,97,40,0,0
Home,Apirak,Pass,48,36,97,51,27,86
Home,Felipe,go,48,36,26,84,9,84
Home,Felipe,go,48,36,9,85,17,69
Home,Felipe,Passfail,48,36,17,69,17,48
Home,Shinnaphat,intercept,49,43,65,14,0,0
Home,Shinnaphat,Pass,49,43,64,14,42,11
Home,Wasan,Passfail,49,43,41,10,29,9
Home,Shinnaphat,intercept,49,43,53,8,0,0
Home,Shinnaphat,Pass,49,43,56,14,63,34
Home,Brinner,Pass,49,43,61,35,54,43
Home,Siwakorn,Pass,49,43,53,48,51,69
Home,Tanasak,Pass,49,43,45,74,26,91
Home,Sanukran,Pass,49,43,24,86,44,81
Home,Tanasak,Pass,49,43,43,80,54,65
Home,Siwakorn,Pass,49,43,54,67,42,36
Home,Phitiwat,Pass,49,43,41,37,37,25
Home,Shinnaphat,Pass,49,43,37,24,25,9
